field;option_set;is_global;value;label
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580010;11
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580011;12
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580012;13
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580013;14
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580014;15
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580015;16
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580016;17
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580017;18
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580018;19
cr56f_3sf_mediallf;cr56f_wpp_120;true;979580019;20
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580099;--
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580000;1
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580001;2
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580002;3
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580003;4
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580004;5
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580005;6
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580006;7
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580007;8
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580008;9
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580009;10
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580010;11
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580011;12
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580012;13
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580013;14
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580014;15
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580015;16
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580016;17
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580017;18
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580018;19
cr56f_3sf_medialrf;cr56f_wpp_120;true;979580019;20
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580099;--
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580000;1
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580001;2
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580002;3
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580003;4
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580004;5
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580005;6
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580006;7
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580007;8
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580008;9
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580009;10
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580010;11
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580011;12
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580012;13
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580013;14
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580014;15
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580015;16
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580016;17
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580017;18
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580018;19
cr56f_4hw_laterallf;cr56f_wpp_120;true;979580019;20
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580099;--
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580000;1
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580001;2
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580002;3
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580003;4
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580004;5
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580005;6
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580006;7
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580007;8
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580008;9
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580009;10
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580010;11
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580011;12
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580012;13
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580013;14
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580014;15
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580015;16
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580016;17
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580017;18
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580018;19
cr56f_4hw_lateralrf;cr56f_wpp_120;true;979580019;20
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580099;--
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580000;1
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580001;2
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580002;3
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580003;4
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580004;5
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580005;6
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580006;7
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580007;8
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580008;9
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580009;10
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580010;11
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580011;12
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580012;13
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580013;14
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580014;15
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580015;16
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580016;17
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580017;18
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580018;19
cr56f_4hw_mediallf;cr56f_wpp_120;true;979580019;20
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580099;--
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580000;1
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580001;2
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580002;3
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580003;4
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580004;5
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580005;6
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580006;7
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580007;8
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580008;9
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580009;10
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580010;11
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580011;12
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580012;13
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580013;14
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580014;15
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580015;16
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580016;17
cr56f_4hw_medialrf;cr56f_wpp_120;true;979580017;18
